Column1,timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,EDA,HR,TEMP
61,1637326036,1637326051,Geil f?r immer,King Orgasmus One,spotify:track:71UJMftDcCLhBAupDt7HzS,psychokore,0.922,0.624,4,-6.487,0,0.199,0.000102,0.00000793,0.419,0.853,138.067,4,0.000212723,0.015654762,0.013359444
62,1637326067,1637326082,Unutamam,Anelia,spotify:track:7K2CifnqMc59tndkrHt1gJ,chalga,0.646,0.81,1,-5.608,0,0.0476,0.00169,0.000162,0.126,0.532,150.04,4,0.00065974,-0.584180557,-0.008626667
63,1637326098,1637326113,Vibes for All-Nighters,Deluxe Restaurant Jazz,spotify:track:6mrpHGCjJ7BHWkhwimJzQ6,jazz double bass,0.687,0.17,8,-21.337,1,0.0621,0.865,0.928,0.109,0.413,73.61,3,-0.015508995,-0.469380957,0.007266621
64,1637326128,1637326143,Kapitel 5 - Die Bibel Gesamtausgabe - Altes und Neues Testament,Die Bibel,spotify:track:5Slc13KcXJrtDeTypZNFgp,bible,0.675,0.292,8,-15.159,0,0.946,0.51,0,0.127,0.451,92.209,3,-0.000139099,0.254434525,-0.0004875
65,1637326159,1637326174,Doxology (Come and Worship),Sidney Mohede,spotify:track:2UDcrZvytsHtBaisg0S2LU,indonesian worship,0.242,0.526,7,-10.342,1,0.0401,0.321,0.0000168,0.118,0.0765,131.781,4,0.000229105,0.445335319,0.009167083
66,1637326189,1637326204,Christmas is Here Again,Little Baby Bum Nursery Rhyme Friends,spotify:track:0iStFvWPpGYkFc6AlRGiFv,nursery,0.823,0.206,4,-15.413,0,0.047,0.645,0,0.134,0.403,119.958,4,-0.00351104,0.765952365,0.001648611
67,1637326220,1637326235,Pulanglah Uda Pulanglah Sayang,Fauzana,spotify:track:5gPHO5K6dLQFnQ5gAaVwC5,v pop,0.521,0.666,3,-4.308,1,0.0282,0.403,0.00000105,0.195,0.403,120.083,4,-0.003542159,-0.227662699,0.009773888
68,1637326250,1637326265,Me and the Devil Blues,Robert Johnson,spotify:track:1QCUrXrY1qlxRhL3a9LYCA,traditional blues,0.717,0.111,11,-13.805,1,0.0873,0.931,0.000163,0.107,0.15,82.181,4,-0.000782033,-0.06505953,-0.005315278
69,1637326281,1637326296,The Music's Always There With You,John Rutter,spotify:track:6IMIdiSsYFAdSpitXZtOXX,contemporary choir,0.192,0.192,7,-17.832,1,0.0371,0.986,0.0529,0.0825,0.107,77.713,3,-0.000914925,-0.43761111,-0.011856481
70,1637326311,1637326327,Atis Kreyol Mwen,Blaze One,spotify:track:1yinvM6zCt3XSHOdhoHlhx,rap kreyol,0.762,0.479,10,-10.848,1,0.222,0.177,0.0000016,0.0673,0.704,199.88,4,0.000252869,-0.532946423,-0.009229584
71,1637326342,1637326357,Le guardie i pompieri e l'ambulanza,Cor Veleno,spotify:track:7qSnHX24rFfnNqxRLT8Gr0,italian metal,0.709,0.939,1,-3.532,0,0.309,0.213,0,0.877,0.877,91.97,4,-0.00120112,0.186611111,-0.003413194
72,1637326372,1637326388,Talifoun (outro),A.L.A,spotify:track:25YmpdL3lPHPSpVzlnjpxx,arab trap,0.788,0.667,10,-10.729,0,0.357,0.744,0,0.101,0.0357,115.952,4,-0.00447145,0.297738106,0.014749074
73,1637326403,1637326419,Moko ti y lamban don,Lobi Traor?,spotify:track:266vpafaDLC1ln5ZLBPuoq,desert blues,0.602,0.262,2,-9.18,1,0.0365,0.839,0.108,0.0895,0.68,141.708,4,0.000527305,0.412049603,-0.016669445
74,1637326434,1637326450,Let Your Light Shine on Me,Blind Willie Johnson,spotify:track:51qp3WsYjiDuBhzR7AON69,gospel blues,0.439,0.215,7,-16.259,1,0.0611,0.968,0.0000727,0.183,0.44,165.549,3,0.004081921,-0.53122024,-0.013333472
75,1637326465,1637326480,Start The Day (feat. All3rgy),Songha,spotify:track:0tFPfkV5KA5jmuITJ6GLsx,khmer,0.613,0.873,7,-2.006,0,0.064,0.652,0.0000436,0.524,0.649,90.001,4,0.000737167,-0.197333338,-0.019503472
76,1637326496,1637326511,That's What I'm Here For,ADL,spotify:track:5N3XOXwGeSRon8TOyqPQbF,swedish hip hop,0.705,0.692,8,-11.79,1,0.173,0.0433,0,0.0571,0.782,106.765,4,-0.000408916,-0.165132935,0.000128148
77,1637326526,1637326541,When the Novelty Wears Off,Jazzateers,spotify:track:47iENHgUY6GaLYcmWhilKc,scottish jazz,0.375,0.831,5,-6.413,0,0.0378,0.0000668,0.0959,0.113,0.69,80.649,4,0.001043469,-0.268557549,-0.008060324
78,1637326557,1637326572,If Ever (with Jack Johnson & Ben Harper),Paula Fuga,spotify:track:5CeXAfGpk9baITQvV0feoG,jaw harp,0.803,0.477,1,-7.567,1,0.0321,0.702,0.0000437,0.11,0.682,104.967,4,0.000232198,-0.180297616,-0.014595972
79,1637326588,1637326603,Amigo Mio - En Vivo,La Firma,spotify:track:2WX7TVLzsh2bBIrsglQ7Ck,tejano,0.343,0.808,2,-6.76,1,0.099,0.598,0,0.81,0.365,150.53,4,-0.002319731,0.271972223,-0.003702546
80,1637326619,1637326634,Carry On... Jon,Blackmore's Night,spotify:track:5mfI1PHaSrEQaQC6o58JLz,medieval,0.472,0.608,4,-7.475,0,0.027,0.000259,0.639,0.177,0.218,106.028,3,0.000214019,0.618607142,-0.001796343
81,1637326649,1637326664,In the Air Tonight,Nonpoint,spotify:track:25c5pEpcxKsATUZD0506vP,industrial rock,0.562,0.808,0,-4.836,1,0.0462,0.0118,0.158,0.137,0.196,99.956,4,0.000356814,-0.496636906,-0.011491389
82,1637326680,1637326695,There's A Reason Why (I Never Returned Your Calls),Blossoms,spotify:track:4OZ5stbrJihXjZma7ismQN,english indie rock,0.493,0.882,11,-5.37,1,0.046,0.0166,0.00000297,0.187,0.685,123.988,4,0.000714934,-0.647722223,-0.009042824
83,1637326710,1637326726,Op?taj sa Malana,Musica Folklorica,spotify:track:1atgYigs3iq2GR3gTOOEj2,moravian folk,0.423,0.527,9,-6.365,0,0.0504,0.925,0.0000511,0.29,0.957,167.845,4,0.000700415,0.414482144,0.009661852
84,1637326741,1637326756,The Unanswered Question,Charles Ives,spotify:track:7kZKXTeVE3qs0E0p3SPWr4,american choir,0.127,0.00108,0,-42.283,1,0.0392,0.661,0.178,0.125,0.0386,78.175,3,0.000577672,0.376011902,0.00089125
85,1638869584,1638869599,Return Of The Dragons,Galaxy 2 Galaxy,spotify:track:2SdmE80ls7H2XCHQmrulIY,acid jazz,0.538,0.948,6,-10.367,0,0.0528,0.121,0.956,0.0912,0.761,130.625,4,0.002879362,-1.172196433,-0.001236621
86,1638869614,1638869629,Am ne Tag im April,Troubas Kater,spotify:track:3LK7xYGVqtOrI152G6cnrK,mundart,0.708,0.752,9,-5.927,1,0.0463,0.00597,0,0.0855,0.944,138.026,4,-6.92993E-05,-1.122232174,-0.071568611
87,1638869645,1638869660,Run And Hide,Hip-Hop Wieners,spotify:track:2hD5wQshK7Hs9aGGczfQer,winnipeg hip hop,0.62,0.604,10,-7.289,0,0.219,0.0971,0.00000993,0.315,0.668,114.382,5,0.001706686,5.227333324,0.011080046
88,1638869675,1638869690,Skovannye odnoy tsep'ju,Nautilus Pompilius,spotify:track:0No8ou0PZ3iWKp5EhWb2F8,classic russian rock,0.673,0.699,10,-10.775,0,0.201,0.599,0,0.597,0.28,118.681,4,0.001322199,-2.53096415,0.000565046
89,1638869706,1638869721,Underwater Paradise - Original Mix,Ingo Herrmann,spotify:track:5nvLHPgYQKcXjySI56M2Al,deep chill,0.547,0.12,0,-19.396,1,0.0331,0.982,0.745,0.114,0.321,180.038,4,0.000846408,-5.202529766,-0.011590208
90,1638869737,1638869752,Fuck Up,Sarah Shook & the Disarmers,spotify:track:1cXUmVaiwY79D1GvUf43QS,deathgrass,0.602,0.822,9,-5.34,1,0.028,0.0037,0,0.127,0.88,133.086,4,0.00090318,0.610805553,-0.013729421
91,1638869767,1638869783,Sabhal Ia'n Ic Uisdean,Tannas,spotify:track:5Q0thfq0gQdHWPjazTd0EZ,scottish folk,0.789,0.518,6,-7.745,1,0.0354,0.737,0.00053,0.0928,0.687,129.227,4,0.001451751,0.002936508,-0.005949445
92,1638869798,1638869813,This Is Techno?,Jakob Domino,spotify:track:30kT8Py4fau7oGM8VvWV97,danish techno,0.819,0.184,1,-20.47,1,0.04,0.297,0.849,0.0982,0.577,130.012,4,0.000819344,-0.180297611,3.43749E-05
93,1638869828,1638869844,Love Is Killing Me,BONNIE X CLYDE,spotify:track:0WDHsTEgyvjw4EM24O0Tyd,electra,0.684,0.873,0,-4.94,1,0.0644,0.169,0.0000153,0.117,0.374,125.906,4,-0.004419108,-1.270220349,0.093883681
94,1638869859,1638869874,A Million Miles for You,Northern Cree,spotify:track:0q5byEHxhgwzfPSj41L8ub,powwow,0.59,0.676,1,-7.819,1,0.0438,0.719,0.00291,0.612,0.174,69.887,4,0.00126191,3.122410784,0.00090757
95,1638869889,1638869905,All Day,Kevin Hart,spotify:track:2NBgfMo1xvE7D3o18zirjB,comedy rock,0.674,0.495,5,-8.593,0,0.058,0.215,0,0.134,0.216,102.636,4,0.001415666,3.244628983,-0.003402801
96,1638869920,1638869935,EDM A Cappella Mashup (Good Feeling / Clarity / Outside / Levels / Runaway [U & I] / Blackout / Enjoy the Ride),BYU Vocal Point,spotify:track:21En3O6PFUqVhIGCwfLLio,a cappella,0.663,0.491,2,-6.668,0,0.0385,0.0309,0.00000278,0.145,0.329,127.984,4,0.0009177,-2.917142884,-0.002847222
97,1638869951,1638869966,I Check U Out,Remute,spotify:track:6Tdl3BZFAyMVy0xzEJKloY,hamburg electronic,0.906,0.508,1,-10.171,1,0.0736,0.00156,0.767,0.116,0.954,127.023,4,0.001503519,-0.895150798,-0.005948519
98,1638869981,1638869996,Aiz upeites,Skandinieki,spotify:track:2ztGp72dWSn5VNgHkw3SGk,baltic folk,0.366,0.543,2,-9.737,0,0.034,0.795,0,0.17,0.594,175.881,4,0.001399271,0.054732148,0.001805695
99,1638870012,1638870027,Once More with Feeling,Get Cape. Wear Cape. Fly,spotify:track:4nC7KIHw5ZRGPL7cqO2MrT,essex indie,0.418,0.199,5,-13.978,1,0.0354,0.923,0.00312,0.114,0.428,121.016,4,0.001732286,-1.006192459,-0.001453981
100,1638870042,1638870058,Crazy Man - The Advent & Industrialyzer Remix,Frankyeffe,spotify:track:4aGIsm6YhkIqgclOEwxQZk,italian industrial,0.677,0.774,4,-7.69,0,0.036,0.00104,0.718,0.124,0.257,127.982,4,0.000239641,0.54226191,0.000652361
101,1638870073,1638870088,Ja Se Vozim Brzo,Slavonske lole,spotify:track:31pcaCOQlUbMwqsx0IXAKL,tamburica,0.619,0.526,4,-7.166,1,0.0739,0.592,0,0.214,0.806,130.65,4,0.00096397,0.026777777,-0.007502315
