name,artist,uri,url,genre,danceability,energy,valence,acousticness
O Come All Ye Faithful - Remastered 1999,Nat King Cole,spotify:track:54P8OpHTIuhVQieh5vYGDT,,j pop,0.257,0.217,0.203,0.636
Illuminate,Motör Militia,spotify:track:6vOortc2ytSw3fNA0bOqix,https://p.scdn.co/mp3-preview/76763f952db3a737bcc8a8a0f5f17d73c112a7b7?cid=044f973e13634ba3becdcb523d0f964f,arab metal,0.564,0.973,0.494,0.000447
"If I Can't Sell It, I'll Keep Sittin' On It",Ruth Brown,spotify:track:1GbvqQV4R7n52e28B7TcTB,,jump blues,0.735,0.257,0.473,0.74
Three Chord Country And American Rock & Roll,Keith Anderson,spotify:track:0ctvkzcE5ut6lP53Ffa9kb,https://p.scdn.co/mp3-preview/7a376525ff3778e8256813a7b82752ae487ecff6?cid=044f973e13634ba3becdcb523d0f964f,oklahoma country,0.655,0.823,0.683,0.128
The Ugly Duckling,Little Baby Bum Nursery Rhyme Friends,spotify:track:6B2cA8rF1TTlSPJFvhwTh6,,nursery,0.936,0.223,0.527,0.462
Impossible Love,Louise Carver,spotify:track:5Sihuj6u1UjNbEVvSQ4s1Q,https://p.scdn.co/mp3-preview/6a5ca086c9f939ffc1cbfd2004e9d77543d5a6c7?cid=044f973e13634ba3becdcb523d0f964f,indie pop rock,0.558,0.71,0.755,0.263
Just Another Fashion,Antiseptic,spotify:track:0bWc9qpNQ61HagXqy1yx4t,https://p.scdn.co/mp3-preview/d491adf81347bb1b4635414cb0f3dfd9170f20c5?cid=044f973e13634ba3becdcb523d0f964f,indonesian punk,0.549,0.961,0.874,0.00757
Abilli,PRNY,spotify:track:2msALltQH0lcNjYNaST6KD,https://p.scdn.co/mp3-preview/b09c23fd9bcb61e2c2fc7e980161617d11948738?cid=044f973e13634ba3becdcb523d0f964f,romanian trap,0.844,0.725,0.808,0.347
King Is Back - Snails and Sullivan King Metal Remix,SNAILS,spotify:track:5fK2z3qz3kaSP2snwsFRNL,https://p.scdn.co/mp3-preview/aeaf0397a9c8169137fd2a67fb0df4d4a383ded2?cid=044f973e13634ba3becdcb523d0f964f,dub metal,0.401,0.985,0.12,0.000601
"Kapitel 09: Bei uns ist es so lustig, wenn Weihnachten ist.3 - Die schönsten Weihnachtsgeschichten",Astrid Lindgren,spotify:track:5zZ1vUyjMR18YNmaqlkW1V,https://p.scdn.co/mp3-preview/b53aed3423a9db282fca25223ed079f0c842169d?cid=044f973e13634ba3becdcb523d0f964f,barnsagor,0.71,0.289,0.381,0.765
Asesinos / Punk-O,Panteon Rococo,spotify:track:2i1il39GQN5JrBsK97C8Jf,https://p.scdn.co/mp3-preview/41bee6bc511cb5faf3b5ad79413d91024b597454?cid=044f973e13634ba3becdcb523d0f964f,ska punk,0.432,0.947,0.372,0.000836
